63917,36312,20286,26864,5461,51072,28052,56367,10192,;		36312,20286,28797,5461,51072,22515,56367,10192,7450,;		20286,28797,42066,51072,22515,25252,10192,7450,33213,;		28797,42066,50829,22515,25252,14089,7450,33213,38526,;		42066,50829,61356,25252,14089,12910,33213,38526,10000,;		50829,61356,31206,14089,12910,41517,38526,10000,8621,;		61356,31206,21064,12910,41517,62590,10000,8621,49221,;		31206,21064,11491,41517,62590,8522,8621,49221,40039,;		21064,11491,14897,62590,8522,52391,49221,40039,14971,;		11491,14897,34048,8522,52391,59072,40039,14971,17475,;		14897,34048,26414,52391,59072,20595,14971,17475,63270,;		34048,26414,55999,59072,20595,41566,17475,63270,9625,;		26414,55999,4278,20595,41566,48923,63270,9625,54157,;		55999,4278,47459,41566,48923,36602,9625,54157,10368,;		4278,47459,31356,48923,36602,19785,54157,10368,26163,;		47459,31356,38990,36602,19785,60907,10368,26163,5249,;		31356,38990,62770,19785,60907,50848,26163,5249,58797,;		38990,62770,8503,60907,50848,225,5249,58797,4339,;		62770,8503,40886,50848,225,48244,58797,4339,45213,;		8503,40886,30009,225,48244,30800,4339,45213,54037,;		40886,30009,43463,48244,30800,64860,45213,54037,46152,;		30009,43463,14197,30800,64860,27710,54037,46152,43330,;		43463,14197,51906,64860,27710,57742,46152,43330,20228,;		
26864,5461,51072,28052,56367,10192,12348,64080,10208,;		5461,51072,22515,56367,10192,7450,64080,10208,59919,;		51072,22515,25252,10192,7450,33213,10208,59919,60526,;		22515,25252,14089,7450,33213,38526,59919,60526,40350,;		25252,14089,12910,33213,38526,10000,60526,40350,57260,;		14089,12910,41517,38526,10000,8621,40350,57260,7138,;		12910,41517,62590,10000,8621,49221,57260,7138,64011,;		41517,62590,8522,8621,49221,40039,7138,64011,17221,;		62590,8522,52391,49221,40039,14971,64011,17221,6459,;		8522,52391,59072,40039,14971,17475,17221,6459,52087,;		52391,59072,20595,14971,17475,63270,6459,52087,64849,;		59072,20595,41566,17475,63270,9625,52087,64849,15329,;		20595,41566,48923,63270,9625,54157,64849,15329,17205,;		41566,48923,36602,9625,54157,10368,15329,17205,5137,;		48923,36602,19785,54157,10368,26163,17205,5137,59703,;		36602,19785,60907,10368,26163,5249,5137,59703,53301,;		19785,60907,50848,26163,5249,58797,59703,53301,40286,;		60907,50848,225,5249,58797,4339,53301,40286,5116,;		50848,225,48244,58797,4339,45213,40286,5116,62024,;		225,48244,30800,4339,45213,54037,5116,62024,18055,;		48244,30800,64860,45213,54037,46152,62024,18055,58997,;		30800,64860,27710,54037,46152,43330,18055,58997,62270,;		64860,27710,57742,46152,43330,20228,58997,62270,20455,;		
28052,56367,10192,12348,64080,10208,37598,61940,23984,;		56367,10192,7450,64080,10208,59919,61940,23984,31566,;		10192,7450,33213,10208,59919,60526,23984,31566,40875,;		7450,33213,38526,59919,60526,40350,31566,40875,15670,;		33213,38526,10000,60526,40350,57260,40875,15670,19670,;		38526,10000,8621,40350,57260,7138,15670,19670,64953,;		10000,8621,49221,57260,7138,64011,19670,64953,12465,;		8621,49221,40039,7138,64011,17221,64953,12465,24616,;		49221,40039,14971,64011,17221,6459,12465,24616,53723,;		40039,14971,17475,17221,6459,52087,24616,53723,22154,;		14971,17475,63270,6459,52087,64849,53723,22154,49042,;		17475,63270,9625,52087,64849,15329,22154,49042,27439,;		63270,9625,54157,64849,15329,17205,49042,27439,6456,;		9625,54157,10368,15329,17205,5137,27439,6456,28722,;		54157,10368,26163,17205,5137,59703,6456,28722,53438,;		10368,26163,5249,5137,59703,53301,28722,53438,41989,;		26163,5249,58797,59703,53301,40286,53438,41989,58357,;		5249,58797,4339,53301,40286,5116,41989,58357,39112,;		58797,4339,45213,40286,5116,62024,58357,39112,6200,;		4339,45213,54037,5116,62024,18055,39112,6200,38075,;		45213,54037,46152,62024,18055,58997,6200,38075,30371,;		54037,46152,43330,18055,58997,62270,38075,30371,26146,;		46152,43330,20228,58997,62270,20455,30371,26146,35668,;		
12348,64080,10208,37598,61940,23984,3196,45478,3110,;		64080,10208,59919,61940,23984,31566,45478,3110,32326,;		10208,59919,60526,23984,31566,40875,3110,32326,18059,;		59919,60526,40350,31566,40875,15670,32326,18059,18892,;		60526,40350,57260,40875,15670,19670,18059,18892,21814,;		40350,57260,7138,15670,19670,64953,18892,21814,51005,;		57260,7138,64011,19670,64953,12465,21814,51005,12432,;		7138,64011,17221,64953,12465,24616,51005,12432,52100,;		64011,17221,6459,12465,24616,53723,12432,52100,9842,;		17221,6459,52087,24616,53723,22154,52100,9842,42832,;		6459,52087,64849,53723,22154,49042,9842,42832,54116,;		52087,64849,15329,22154,49042,27439,42832,54116,22339,;		64849,15329,17205,49042,27439,6456,54116,22339,53341,;		15329,17205,5137,27439,6456,28722,22339,53341,58199,;		17205,5137,59703,6456,28722,53438,53341,58199,33150,;		5137,59703,53301,28722,53438,41989,58199,33150,34600,;		59703,53301,40286,53438,41989,58357,33150,34600,55964,;		53301,40286,5116,41989,58357,39112,34600,55964,34113,;		40286,5116,62024,58357,39112,6200,55964,34113,25453,;		5116,62024,18055,39112,6200,38075,34113,25453,62338,;		62024,18055,58997,6200,38075,30371,25453,62338,53709,;		18055,58997,62270,38075,30371,26146,62338,53709,14289,;		58997,62270,20455,30371,26146,35668,53709,14289,42267,;		
37598,61940,23984,3196,45478,3110,30806,30301,42801,;		61940,23984,31566,45478,3110,32326,30301,42801,24255,;		23984,31566,40875,3110,32326,18059,42801,24255,45829,;		31566,40875,15670,32326,18059,18892,24255,45829,46389,;		40875,15670,19670,18059,18892,21814,45829,46389,12824,;		15670,19670,64953,18892,21814,51005,46389,12824,57122,;		19670,64953,12465,21814,51005,12432,12824,57122,1357,;		64953,12465,24616,51005,12432,52100,57122,1357,45576,;		12465,24616,53723,12432,52100,9842,1357,45576,13954,;		24616,53723,22154,52100,9842,42832,45576,13954,44887,;		53723,22154,49042,9842,42832,54116,13954,44887,59478,;		22154,49042,27439,42832,54116,22339,44887,59478,57562,;		49042,27439,6456,54116,22339,53341,59478,57562,17720,;		27439,6456,28722,22339,53341,58199,57562,17720,6803,;		6456,28722,53438,53341,58199,33150,17720,6803,611,;		28722,53438,41989,58199,33150,34600,6803,611,31139,;		53438,41989,58357,33150,34600,55964,611,31139,564,;		41989,58357,39112,34600,55964,34113,31139,564,28781,;		58357,39112,6200,55964,34113,25453,564,28781,17283,;		39112,6200,38075,34113,25453,62338,28781,17283,25313,;		6200,38075,30371,25453,62338,53709,17283,25313,10127,;		38075,30371,26146,62338,53709,14289,25313,10127,55390,;		30371,26146,35668,53709,14289,42267,10127,55390,16894,;		
3196,45478,3110,30806,30301,42801,32374,41698,26407,;		45478,3110,32326,30301,42801,24255,41698,26407,7932,;		3110,32326,18059,42801,24255,45829,26407,7932,55426,;		32326,18059,18892,24255,45829,46389,7932,55426,54197,;		18059,18892,21814,45829,46389,12824,55426,54197,56924,;		18892,21814,51005,46389,12824,57122,54197,56924,62846,;		21814,51005,12432,12824,57122,1357,56924,62846,33806,;		51005,12432,52100,57122,1357,45576,62846,33806,61653,;		12432,52100,9842,1357,45576,13954,33806,61653,53208,;		52100,9842,42832,45576,13954,44887,61653,53208,12305,;		9842,42832,54116,13954,44887,59478,53208,12305,34726,;		42832,54116,22339,44887,59478,57562,12305,34726,41985,;		54116,22339,53341,59478,57562,17720,34726,41985,61593,;		22339,53341,58199,57562,17720,6803,41985,61593,53279,;		53341,58199,33150,17720,6803,611,61593,53279,29970,;		58199,33150,34600,6803,611,31139,53279,29970,45417,;		33150,34600,55964,611,31139,564,29970,45417,7921,;		34600,55964,34113,31139,564,28781,45417,7921,14860,;		55964,34113,25453,564,28781,17283,7921,14860,2446,;		34113,25453,62338,28781,17283,25313,14860,2446,43675,;		25453,62338,53709,17283,25313,10127,2446,43675,35130,;		62338,53709,14289,25313,10127,55390,43675,35130,62071,;		53709,14289,42267,10127,55390,16894,35130,62071,62490,;		
30806,30301,42801,32374,41698,26407,61067,15520,17211,;		30301,42801,24255,41698,26407,7932,15520,17211,53201,;		42801,24255,45829,26407,7932,55426,17211,53201,54996,;		24255,45829,46389,7932,55426,54197,53201,54996,52240,;		45829,46389,12824,55426,54197,56924,54996,52240,7536,;		46389,12824,57122,54197,56924,62846,52240,7536,46295,;		12824,57122,1357,56924,62846,33806,7536,46295,3213,;		57122,1357,45576,62846,33806,61653,46295,3213,40567,;		1357,45576,13954,33806,61653,53208,3213,40567,36350,;		45576,13954,44887,61653,53208,12305,40567,36350,8302,;		13954,44887,59478,53208,12305,34726,36350,8302,30805,;		44887,59478,57562,12305,34726,41985,8302,30805,1901,;		59478,57562,17720,34726,41985,61593,30805,1901,30080,;		57562,17720,6803,41985,61593,53279,1901,30080,44798,;		17720,6803,611,61593,53279,29970,30080,44798,57894,;		6803,611,31139,53279,29970,45417,44798,57894,30990,;		611,31139,564,29970,45417,7921,57894,30990,26337,;		31139,564,28781,45417,7921,14860,30990,26337,36974,;		564,28781,17283,7921,14860,2446,26337,36974,37742,;		28781,17283,25313,14860,2446,43675,36974,37742,39954,;		17283,25313,10127,2446,43675,35130,37742,39954,22210,;		25313,10127,55390,43675,35130,62071,39954,22210,52216,;		10127,55390,16894,35130,62071,62490,22210,52216,7051,;		
32374,41698,26407,61067,15520,17211,1304,30700,23085,;		41698,26407,7932,15520,17211,53201,30700,23085,15777,;		26407,7932,55426,17211,53201,54996,23085,15777,40005,;		7932,55426,54197,53201,54996,52240,15777,40005,17533,;		55426,54197,56924,54996,52240,7536,40005,17533,39895,;		54197,56924,62846,52240,7536,46295,17533,39895,2116,;		56924,62846,33806,7536,46295,3213,39895,2116,4988,;		62846,33806,61653,46295,3213,40567,2116,4988,54604,;		33806,61653,53208,3213,40567,36350,4988,54604,49884,;		61653,53208,12305,40567,36350,8302,54604,49884,18557,;		53208,12305,34726,36350,8302,30805,49884,18557,27308,;		12305,34726,41985,8302,30805,1901,18557,27308,19006,;		34726,41985,61593,30805,1901,30080,27308,19006,20755,;		41985,61593,53279,1901,30080,44798,19006,20755,37208,;		61593,53279,29970,30080,44798,57894,20755,37208,18333,;		53279,29970,45417,44798,57894,30990,37208,18333,39148,;		29970,45417,7921,57894,30990,26337,18333,39148,3449,;		45417,7921,14860,30990,26337,36974,39148,3449,9713,;		7921,14860,2446,26337,36974,37742,3449,9713,12276,;		14860,2446,43675,36974,37742,39954,9713,12276,49689,;		2446,43675,35130,37742,39954,22210,12276,49689,24823,;		43675,35130,62071,39954,22210,52216,49689,24823,44138,;		35130,62071,62490,22210,52216,7051,24823,44138,44262,;		
61067,15520,17211,1304,30700,23085,25513,3305,19607,;		15520,17211,53201,30700,23085,15777,3305,19607,9372,;		17211,53201,54996,23085,15777,40005,19607,9372,42027,;		53201,54996,52240,15777,40005,17533,9372,42027,35248,;		54996,52240,7536,40005,17533,39895,42027,35248,17269,;		52240,7536,46295,17533,39895,2116,35248,17269,39504,;		7536,46295,3213,39895,2116,4988,17269,39504,44879,;		46295,3213,40567,2116,4988,54604,39504,44879,45879,;		3213,40567,36350,4988,54604,49884,44879,45879,47428,;		40567,36350,8302,54604,49884,18557,45879,47428,14125,;		36350,8302,30805,49884,18557,27308,47428,14125,26092,;		8302,30805,1901,18557,27308,19006,14125,26092,5102,;		30805,1901,30080,27308,19006,20755,26092,5102,25808,;		1901,30080,44798,19006,20755,37208,5102,25808,24509,;		30080,44798,57894,20755,37208,18333,25808,24509,52344,;		44798,57894,30990,37208,18333,39148,24509,52344,5353,;		57894,30990,26337,18333,39148,3449,52344,5353,12489,;		30990,26337,36974,39148,3449,9713,5353,12489,59363,;		26337,36974,37742,3449,9713,12276,12489,59363,44470,;		36974,37742,39954,9713,12276,49689,59363,44470,31895,;		37742,39954,22210,12276,49689,24823,44470,31895,8215,;		39954,22210,52216,49689,24823,44138,31895,8215,2629,;		22210,52216,7051,24823,44138,44262,8215,2629,15465,;		
1304,30700,23085,25513,3305,19607,19733,4094,32383,;		30700,23085,15777,3305,19607,9372,4094,32383,49695,;		23085,15777,40005,19607,9372,42027,32383,49695,54095,;		15777,40005,17533,9372,42027,35248,49695,54095,38390,;		40005,17533,39895,42027,35248,17269,54095,38390,54675,;		17533,39895,2116,35248,17269,39504,38390,54675,32076,;		39895,2116,4988,17269,39504,44879,54675,32076,32156,;		2116,4988,54604,39504,44879,45879,32076,32156,11414,;		4988,54604,49884,44879,45879,47428,32156,11414,53978,;		54604,49884,18557,45879,47428,14125,11414,53978,52401,;		49884,18557,27308,47428,14125,26092,53978,52401,45942,;		18557,27308,19006,14125,26092,5102,52401,45942,12606,;		27308,19006,20755,26092,5102,25808,45942,12606,1099,;		19006,20755,37208,5102,25808,24509,12606,1099,44053,;		20755,37208,18333,25808,24509,52344,1099,44053,28374,;		37208,18333,39148,24509,52344,5353,44053,28374,25485,;		18333,39148,3449,52344,5353,12489,28374,25485,15349,;		39148,3449,9713,5353,12489,59363,25485,15349,5703,;		3449,9713,12276,12489,59363,44470,15349,5703,23952,;		9713,12276,49689,59363,44470,31895,5703,23952,11449,;		12276,49689,24823,44470,31895,8215,23952,11449,178,;		49689,24823,44138,31895,8215,2629,11449,178,3089,;		24823,44138,44262,8215,2629,15465,178,3089,34713,;		
