 9322  9238  9888 10218 10575 10960 12032 12270 11326 11227 10667  9573  9590 10576 11859 12309 11456  9758  9066  9993  9650  9161  8844  9570 11413 12407 12184 12207 11871 10561  9752 10610 12227 12629 12809 12053 
 9993  9650  9161  8844  9570 11413 12407 12184 12207 11871 10561  9752 10610 12227 12629 12809 12053 10435  9408 11605 10001  8451  8416  9844 11682 13022 12651 12575 12776 11396 10656 11817 12493 13196 12770 12141 
11605 10001  8451  8416  9844 11682 13022 12651 12575 12776 11396 10656 11817 12493 13196 12770 12141 10277 10070 11039 10507  9197  8823 10036 12065 12462 12404 12681 12052 11509 11346 12219 13514 12097 10915 11608 
11039 10507  9197  8823 10036 12065 12462 12404 12681 12052 11509 11346 12219 13514 12097 10915 11608 10450  9893 10652 10388  9828 10183 10556 11324 12499 12991 12997 12338 11427 11057 11621 12406 12421 10667 10077 
10652 10388  9828 10183 10556 11324 12499 12991 12997 12338 11427 11057 11621 12406 12421 10667 10077 10747 10135 10821 11220 10119 10336 11310 11617 12138 12766 13164 12322 11770 12240 12033 11896 10878  9540  9811 
10821 11220 10119 10336 11310 11617 12138 12766 13164 12322 11770 12240 12033 11896 10878  9540  9811 10339  9948 10145 10873 10778 10766 11231 11391 11674 12900 13290 12369 11512 11465 12147 12440 11802  9970  9453 
10145 10873 10778 10766 11231 11391 11674 12900 13290 12369 11512 11465 12147 12440 11802  9970  9453  9489  9919 10730 11162 10238 10437 11221 11446 11780 12100 12611 12527 12045 12543 12384 12388 12180 11652 11180 
10730 11162 10238 10437 11221 11446 11780 12100 12611 12527 12045 12543 12384 12388 12180 11652 11180 10040 10297  9832 10724 10651 10277 11056 10456  9997 10566 10883 11696 12411 12669 12811 13070 13326 12562 12119 
 9832 10724 10651 10277 11056 10456  9997 10566 10883 11696 12411 12669 12811 13070 13326 12562 12119 10685 10146 10087 10285 10282  9927  9830 10313  9886  9638  9586 10825 13050 14635 14476 13428 13467 13886 13566 
10087 10285 10282  9927  9830 10313  9886  9638  9586 10825 13050 14635 14476 13428 13467 13886 13566 11605 10376  9968 10307 10163 10379 10615  9673  9140  9518  9927 10647 12450 13794 14209 14233 14005 13570 13321 
 9968 10307 10163 10379 10615  9673  9140  9518  9927 10647 12450 13794 14209 14233 14005 13570 13321 11253 10347  9762  9641 10140 10337 10204 10077  9070  9286 10425 11502 12715 13792 13969 13442 13597 13770 12775 
 9762  9641 10140 10337 10204 10077  9070  9286 10425 11502 12715 13792 13969 13442 13597 13770 12775 10249  9927  9782 10024 10377 11017 11264 10055  8965  9432 11059 12115 12696 12531 12830 13841 14363 14091 13361 
 9782 10024 10377 11017 11264 10055  8965  9432 11059 12115 12696 12531 12830 13841 14363 14091 13361 11296  9800  9590  8911 10970 12004 10965  9743  8246  8975 12132 13843 12707 12003 11982 13126 14761 14956 13259 
 9590  8911 10970 12004 10965  9743  8246  8975 12132 13843 12707 12003 11982 13126 14761 14956 13259 10711  9673  9994  9624 10309 11805 12073 10036  8392  8600 10687 13092 13553 11894 11472 12782 14583 15140 14203 
 9994  9624 10309 11805 12073 10036  8392  8600 10687 13092 13553 11894 11472 12782 14583 15140 14203 10717  9644 10231  9486 10649 10815 10187 10195  9482  9783 11314 12663 12885 12793 12094 12799 14771 15133 13492 
10231  9486 10649 10815 10187 10195  9482  9783 11314 12663 12885 12793 12094 12799 14771 15133 13492 10176  9131 10636 10468 10419 10772 10114  9548 10142  9861 10012 11148 12485 12649 12647 12897 14151 15168 14113 
10636 10468 10419 10772 10114  9548 10142  9861 10012 11148 12485 12649 12647 12897 14151 15168 14113 11339  8884     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x     x 


